"","x"
"QRICH1",10.4252933679412
"SLC1A4",10.2696934514971
"ABCA7",6.57870095825393
"ATAD3A",8.21699202267476
"SLC35A4",10.0242953387193
"AGR2",3.94837421943771
"GCN1",11.6850341974787
"SLC3A2",11.6542648779689
"DELE1",9.62091757922358
"SLC7A11",12.2073832390631
"ATF4",12.4478685080237
"HERC5",5.89061614941956
"SLC7A5",13.1661832779933
"ARIH1",11.6772835758106
"NARS1",10.928656780472
"RPAP2",12.0948164018117
"APAF1",9.3911489562382
"BATF2",5.22518692104281
"BBC3",7.71261700365195
"EIF2S1",10.7022337638897
"BCL2",7.35128223486624
"BATF3",4.89004921668968
"BIRC2",10.4710855814892
"BOK",9.48655853977778
"OMA1",7.80075311422807
"BIRC3",6.61094624454484
"EIF2AK1",10.7620056911845
"BIRC5",7.36520630030211
"IMPACT",9.83419418653613
"ATG3",9.49503174225336
"NFE2",4.19107448468579
"ATG5",9.23583529325468
"NFE2L3",8.20323484112594
"ATG7",9.4482470113795
"CREBZF",9.86975500226437
"GABARAP",12.2935521019247
"EIF2AK4",11.2770401475937
"GABARAPL2",9.62804286350707
"CEBPE",3.80798017222756
"NBR1",11.6005068471269
"EIF2AK3",8.6909467127964
"FOSL1",10.5595382473346
"SQSTM1",13.2857801129222
"FOS",13.4972502091144
"ASNS",10.5223271384372
"CREB3",8.61418016673273
"BECN1",9.25843743562914
"NFE2L2",11.4926519385709
"EIF2AK2",11.5869935414407
"JUN",11.1652859816705
"MAP3K20",11.5045386831444
"BATF",3.83700149303938
"MAF",7.84595134154622
"CEBPD",10.191231705033
"MAP1LC3A",8.769704624964
"LIG4",8.39641566421262
"SLC38A2",14.0042025439785
"DDB1",12.037068410519
"IRGM",5.93908010380498
"CEBPG",9.81228668666048
"DDB2",9.11942758818939
"CEBPB",10.8570217186203
"DDIT4",10.1436964092254
"JUNB",11.9316291835249
"ATF6",10.7354084601885
"TMED2",12.4598956147349
"HSPA5",13.338159173866
"CEBPA",4.63780480841749
"NCK1",9.21938628420777
"DDIT3",8.27227636599402
"PIK3CA",10.4888466300765
"MAFB",7.93600875808049
"AKT1",11.2097539942189
"IBTK",10.7013766953603
"NCK2",9.05064837124504
"MTOR",10.8775738858971
"ACTG1",15.9029608814137
"EIF2B1",9.06985346734242
"EIF2S3",11.9550562453111
"PPP1CA",10.0311766856649
"RPL7",12.5843153836375
"PTPN1",9.83020522018176
"SESN2",10.7001772136105
"WARS1",11.8271851493005
"BCL2L11",7.54606225309719
"PTPN2",8.98353513277164
"ERN1",8.71598891616903
"ERO1A",10.9761751931475
"PPP1R15A",11.59531989505
"PPP1R15B",11.1107033614908
"TRIB3",10.7435157145433
"XBP1",11.4107423082331
"TMEM33",10.7012743782004
"ERCC1",10.276573974287
"ERCC2",9.79455462624413
"ERCC3",9.39575104038657
"GADD45A",9.54925803399607
"BNIP3L",11.9318612329282
"ATF3",8.89330739333083
"ATF5",9.69941385396601
"CBX4",8.3840154005621
"EGLN2",9.217220976822
"EGLN3",4.85332355477167
"LMO4",9.71642238042645
"NFKB1",9.94311284360995
"TFE3",11.1285223184984
"TFEB",7.00441154687266
"TXNIP",10.2873523377898
"BIRC7",3.77509206875995
"NAIP",9.72962564047381
"NUPR1",10.8524971578678
"PMAIP1",6.72029493075522
"SIAH1",8.92790687339755
"SIAH2",9.49019510724303
"TNFRSF10B",10.9256721487499
"XIAP",10.6582421691044
"ATG10",7.63031586530019
"ATG12",9.98301066342852
"ATG16L1",8.5973927384398
"GDF15",8.86536009779868
